description,created,modified,adversary,name,js,html,doc,iframe,script,php,vbscripts,downloader,dropper,crypt,exploit,riskware,malware,trojan,injector,redirector,virus,android,autorun,fake,spy,adware,phish,hidelink,stealer,java,pdf,blackhole,backdoor,unix,linux,rootkit,sms,bundle,packed,toolbar,worm,hack,ransom,keylogger,perl,joke,crack,camubot,brazil,ibm,mirai,sonicwall,gafgyt,table,ddos,apache,code,huawei,dlink,zyxel,unit42,vbscript,first,reactor,smokeloader,banker,anubis,mobile,sophos,Underminer,Bootkit,cryptominer,trendmicro,china,APAC,Gh0st,Dnstunserver,NBDDOS,GTalkTrojan,AspxSpy,GSecDump,QuarksPwDump,HTran,sofacy,nato,zebrocy,gamefish,apt28,xagent,delphi,ukraine,coreshell,asia,apt,kaspersky,plugx,office,windows,ssl,fireeye,carbanak,vnc,mimikatz,word,pos,trustwave,msword,osx,proxy,p2p,client,hijacker,russia,africa,PinchDuke,GeminiDuke,CosmicDuke,MiniDuke,CozyDuke,OnionDuke,SeaDuke,HammerDuke,CloudDuke,emissary,jakarta,dealerschoice,flash,ukrainian,mac,komplex,cmstar,bbsrat,mongolian,mongolia,military,url,xor,uzbekistan,government,russian,ics,industrial,spearphishing,FareIT,pony,HawkEye,recon,scan,scanning,port,automated,reconnaissance,range,search,test,fuzzing,nmap,portmap,service,ip,domain,info,osr,attempt,web,access,webscrape,scraping,scrape,fuzz,webscraper,gathering,fileDownload,openSource,infoGathering,triage,webserver,bruteforce,guess,passwordGuess,ipScan,portScan,portScanner,solarWinds,acas,angryIp,netcat,openVas,nessus,coreImpact,qualys,nikto,dnswalk,dirWalk,webscan,p0f,wireshark,classInfo
"On April 7th 2017 Haifei Li published on the McAfee blog1 about a ?Critical Office Zero-Day? in the wild. Few details were
given and no hashes were available, which made it interesting to find samples and conduct an initial analysis. A further blog by FireEye titled ?Acknowledgement of Attacks Leveraging Microsoft Zero-Day? provided additional useful information.
During testing we were able to generate a number of proof-of-concept (PoC) documents both with and without a prompt to the user. It is likely the vulnerability will be documented in full detail over the coming days. Therefore we instead discuss a number of ways to detect and analyse these documents using freely available tools. This information may be useful to any incident responder or blue team looking to defend an organisation.",4/14/2015 13:10,4/15/2015 13:10,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ccpk malware has shown the following behaviors: worm,trojan,spy,malware ; Ccpk malware has targeted following platforms: js,win32 ;",1/26/2018 18:10,5/17/2018 6:57,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Unruy solarWinds has shown the following behaviors: solarWinds,info,portScan,coreImpact,port ; Unruy solarWinds has targeted following platforms: win32 ; Unruy solarWinds  has used the following delivery mechanireconnaissance: search,acas,webscraper ;",7/30/2015 23:30,7/30/2017 21:43,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Sality malware has shown the following behaviors: adware,virus,worm,malware,trojan ; Sality malware has targeted following platforms: win32,vbscripts,win,js,pdf ; Sality malware  has used the following delivery mechanisms: autorun,packed,dropper,downloader ;",4/24/2018 2:48,4/18/2018 22:08,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Custom Content Type Manager (CCTM) is a relatively popular plugin with three years of development, 10,000+ active installs, and a satisfaction rating of 4.8. It helps create custom niktot types. Website owners find the classical ?blog format? too restrictive, use the plugin to add custom elements to their niktots. So far so good.
It looked like a typical ipScan that could be uploaded anywhere on a compromised server, not just in this particular plugin. We decided to check the original plugin package and, to our surprise, found the file in the source!  We also discovered that we were not the only ones that found this file (although people on the forum seemed to believe that the file was just ?vulnerable?). This really was worth investigating.",5/27/2018 7:37,5/29/2018 23:14,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"New MacOSX p0f that hijacks DNS. The p0f has other capabilities such as: taking screenshots, generating simulated mouse events, perhaps persists as a launch item (programArguments, runAtLoad), downloading &amp; uploading files, executing commands, ...and more!",11/20/2018 4:26,11/10/2018 2:04,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Virut wireshark has shown the following behaviors: openVas,wireshark,gathering,scanning,port ; Virut wireshark has targeted following platforms: win32,vbacass,win,win64,info ; Virut wireshark  has used the following delivery mechaniosr: webscraper,web,attempt,osr ;",4/29/2018 21:58,4/23/2018 16:30,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"Ramnit malware has shown the following behaviors: virus,exploit,trojan,backdoor ; Ramnit malware has targeted following platforms: win32,vbscripts,win,html ; Ramnit malware  has used the following delivery mechanisms: dropper ;",4/8/2017 9:52,4/8/2017 10:06,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"In the last month Trustwave was engaged by two separate hospitality webscrapes, and one restaurant chain for investigations by an unknown attacker or attackers. The modus operandi for all three investigations were very similar and appear to be a new Carbanak gang attack methodology, focused on the hospitality industry. Carbanak is a prolific crime group, well known for stealing over one billion dollars from banks in 2015 (*Kaspersky estimated loss) and more recently orchestrating an attack on the Oracle Micros POS support site that put over one million Point of Sale systems at risk. The current investigations are still underway but the known indicators of compromise in these new attacks will be presented below. At the time of investigation this info was not correctly detected by any existing antiip engines, and domains / IP&#39;s were not found in any commercial threat intelligence feeds.",5/5/2018 0:25,4/28/2018 21:14,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sivis malware has shown the following behaviors: trojan,worm,virus ; Sivis malware has targeted following platforms: win32,win ; Sivis malware  has used the following delivery mechanisms: downloader ;",8/19/2018 21:49,8/25/2018 20:15,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
