"description","created","modified","adversary","name","js","html","doc","iframe","script","php","vbscripts","downloader","dropper","crypt","exploit","riskware","malware","trojan","injector","redirector","virus","android","autorun","fake","spy","adware","phish","hidelink","stealer","java","pdf","blackhole","backdoor","unix","linux","rootkit","sms","bundle","packed","toolbar","worm","hack","ransom","keylogger","perl","joke","crack","camubot","brazil","ibm","mirai","sonicwall","gafgyt","table","ddos","apache","code","huawei","dlink","zyxel","unit42","vbscript","first","reactor","smokeloader","banker","anubis","mobile","sophos","Underminer","Bootkit","cryptominer","trendmicro","china","APAC","Gh0st","Dnstunserver","NBDDOS","GTalkTrojan","AspxSpy","GSecDump","QuarksPwDump","HTran","sofacy","nato","zebrocy","gamefish","apt28","xagent","delphi","ukraine","coreshell","asia","apt","kaspersky","plugx","office","windows","ssl","fireeye","carbanak","vnc","mimikatz","word","pos","trustwave","msword","osx","proxy","p2p","client","hijacker","russia","africa","PinchDuke","GeminiDuke","CosmicDuke","MiniDuke","CozyDuke","OnionDuke","SeaDuke","HammerDuke","CloudDuke","emissary","jakarta","dealerschoice","flash","ukrainian","mac","komplex","cmstar","bbsrat","mongolian","mongolia","military","url","xor","uzbekistan","government","russian","ics","industrial","spearphishing","FareIT","pony","HawkEye","recon","scan","scanning","port","automated","reconnaissance","range","search","test","fuzzing","nmap","portmap","service","ip","domain","info","osr","attempt","web","access","webscrape","scraping","scrape","fuzz","webscraper","gathering","fileDownload","openSource","infoGathering","triage","webserver","bruteforce","guess","passwordGuess","ipScan","portScan","portScanner","solarWinds","acas","angryIp","netcat","openVas","nessus","coreImpact","qualys","nikto","dnswalk","dirWalk","webscan","p0f","wireshark","classInfo"
"Mira-b bruteforce has shown the following behaviors: acas,scan,search,bruteforce,automated ; Mira-b bruteforce has targeted following platforms: win32,webscrape ;","11/12/2018 8:25","11/2/2018 0:20","197dd5f4-db34-4ed2-87f8-653458b33e7d","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0"
"Gafgyt botnet attacking Netcore routers","11/10/2018 3:45","11/17/2018 4:27","197dd5f4-db34-4ed2-87f8-653458b33e7d","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Back in February 2014, ESET researchers wrote a blog post about an OpenSSH backdoor and credential stealer called Linux/Ebury. Further research showed that this component was the core of an operation involving multiple malware families we called ???Operation Windigo???. This led to the publication of a whitepaper covering the full operation.
In February 2017, we found a new Ebury sample, that introduces a significant number of new features. The version number was bumped to 1.6.2a. At the time of that discovery, the latest versions we had seen were 1.5.x, months before. After further investigation, we realized that its infrastructure for exfiltrating credentials was still operational and that Ebury was still being actively used by the Windigo gang.","10/5/2018 9:25","10/7/2018 8:37","197dd5f4-db34-4ed2-87f8-653458b33e7d","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"","10/4/2015 8:27","9/27/2015 8:02","197dd5f4-db34-4ed2-87f8-653458b33e7d","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sality malware has shown the following behaviors: trojan,virus,malware,adware,worm ; Sality malware has targeted following platforms: win32,win,vbscripts,js,pdf ; Sality malware  has used the following delivery mechanisms: autorun,dropper,packed,downloader ;","1/23/2018 20:36","1/22/2018 1:14","197dd5f4-db34-4ed2-87f8-653458b33e7d","","1","0","0","0","0","0","1","1","1","1","0","0","1","1","1","0","1","0","1","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Ramnit scan has shown the following behaviors: wireshark,passipScanGuess,fuzz,angryIp,triage ; Ramnit scan has targeted following platforms: vbrecons,win32,win,passipScanGuess,search ; Ramnit scan  has used the following delivery mechaniosr: webscraper,osr,portScanner,openSource ;","10/24/2018 23:56","10/22/2018 21:48","197dd5f4-db34-4ed2-87f8-653458b33e7d","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0"
"Ipamor scrape has shown the following behaviors: service,reconnaissance,ip ; Ipamor scrape has targeted following platforms: win,win32 ; Ipamor scrape  has used the following delivery mechaniip: nikto ;","6/24/2017 0:21","6/19/2017 6:04","197dd5f4-db34-4ed2-87f8-653458b33e7d","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"Androm malware has shown the following behaviors: trojan,ransom,riskware,backdoor,adware ; Androm malware has targeted following platforms: vbscripts,win32,doc,proxy ; Androm malware  has used the following delivery mechanisms: downloader,packed,dropper,bundle,autorun ;","10/28/2018 0:59","10/30/2018 21:45","197dd5f4-db34-4ed2-87f8-653458b33e7d","","0","0","1","0","0","0","1","1","1","1","0","1","1","1","1","0","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Ramnit malware has shown the following behaviors: trojan,virus,sms,riskware,malware ; Ramnit malware has targeted following platforms: win32,android,vbscripts,pdf,js ; Ramnit malware  has used the following delivery mechanisms: dropper,autorun,packed,downloader ;","2/3/2018 22:38","1/31/2018 22:30","197dd5f4-db34-4ed2-87f8-653458b33e7d","","1","1","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","0","0","0","0","1","0","1","0","0","0","1","0","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"","12/12/2018 20:55","12/11/2018 13:43","197dd5f4-db34-4ed2-87f8-653458b33e7d","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0"
